matrix,dataset,backbone,label_budget_per_class,validation_budget_per_class,seed,method,status,reference_method,device,inference_dtype,quantization,batch_size,requested_batch_size,max_inference_batch_size,warmup_repeats,timing_repeats,max_epochs,accuracy,macro_f1,model_size_mb,latency_ms_per_example,throughput_examples_per_second,peak_memory_mb,train_examples,validation_examples,test_examples,train_class_counts,validation_class_counts,test_class_counts,train_index_hash,validation_index_hash,test_index_hash,fine_tune_seconds,failure_reason
formal,sst2,albert-base-v2,64,64,1,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.51953125,0.39267460026616774,44.58638572692871,25.89882360078235,38.61179238928026,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",4416e89de581ca695d2d886bd826d68838dee081566e722aa64ed12a99e3a947,817d805f76817488f7e78cdf490b4923385e1c67b97f937add77d90f7e2e84f5,543846d9d68ffe5b4b0f8ddf95eca5a7f97627a986335996ba18fd1e7ce2392f,0.8627008530002058,
formal,sst2,albert-base-v2,64,64,1,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.4765625,0.45909807631661936,22.370460510253906,15.756443913281258,63.46609714118871,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",4416e89de581ca695d2d886bd826d68838dee081566e722aa64ed12a99e3a947,817d805f76817488f7e78cdf490b4923385e1c67b97f937add77d90f7e2e84f5,543846d9d68ffe5b4b0f8ddf95eca5a7f97627a986335996ba18fd1e7ce2392f,0.8627008530002058,
formal,sst2,albert-base-v2,64,64,1,fp32_gpu,PASS,fp32_gpu,cuda,fp32,none,8,8,8,1,5,3,0.51953125,0.39267460026616774,44.58638572692871,0.7870132562501908,1270.6266280248028,87.08984375,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",4416e89de581ca695d2d886bd826d68838dee081566e722aa64ed12a99e3a947,817d805f76817488f7e78cdf490b4923385e1c67b97f937add77d90f7e2e84f5,543846d9d68ffe5b4b0f8ddf95eca5a7f97627a986335996ba18fd1e7ce2392f,0.8627008530002058,
formal,sst2,albert-base-v2,64,64,1,bf16_gpu,PASS,fp32_gpu,cuda,bf16,none,8,8,8,1,5,3,0.5234375,0.3892365456821026,44.58638572692871,0.8717562359379372,1147.1096606771998,96.8076171875,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",4416e89de581ca695d2d886bd826d68838dee081566e722aa64ed12a99e3a947,817d805f76817488f7e78cdf490b4923385e1c67b97f937add77d90f7e2e84f5,543846d9d68ffe5b4b0f8ddf95eca5a7f97627a986335996ba18fd1e7ce2392f,0.8627008530002058,
formal,sst2,albert-base-v2,64,64,2,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.54296875,0.45469441258397514,44.58638572692871,26.92464447109444,37.1406946923133,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",671a219773d4702bf1fe49fd391c15018becace9e7b8d0774d3c02e4affd5e13,976fd7189b7ec27cad55a45e3471dc1a698dfcd33949d703cc5ad9fc1037d8c3,add7b4024851243ce918d6b67fb9366d78bf1869d0c1a6ba53fc4da0bc23be4d,0.49040038699968136,
formal,sst2,albert-base-v2,64,64,2,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.49609375,0.3383422492035824,22.370460510253906,17.7445469804681,56.35534122684151,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",671a219773d4702bf1fe49fd391c15018becace9e7b8d0774d3c02e4affd5e13,976fd7189b7ec27cad55a45e3471dc1a698dfcd33949d703cc5ad9fc1037d8c3,add7b4024851243ce918d6b67fb9366d78bf1869d0c1a6ba53fc4da0bc23be4d,0.49040038699968136,
formal,sst2,albert-base-v2,64,64,2,fp32_gpu,PASS,fp32_gpu,cuda,fp32,none,8,8,8,1,5,3,0.54296875,0.45469441258397514,44.58638572692871,0.8008216625000841,1248.7174696025345,88.0419921875,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",671a219773d4702bf1fe49fd391c15018becace9e7b8d0774d3c02e4affd5e13,976fd7189b7ec27cad55a45e3471dc1a698dfcd33949d703cc5ad9fc1037d8c3,add7b4024851243ce918d6b67fb9366d78bf1869d0c1a6ba53fc4da0bc23be4d,0.49040038699968136,
formal,sst2,albert-base-v2,64,64,2,bf16_gpu,PASS,fp32_gpu,cuda,bf16,none,8,8,8,1,5,3,0.54296875,0.45469441258397514,44.58638572692871,0.8912769882812199,1121.9856600678613,96.970703125,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",671a219773d4702bf1fe49fd391c15018becace9e7b8d0774d3c02e4affd5e13,976fd7189b7ec27cad55a45e3471dc1a698dfcd33949d703cc5ad9fc1037d8c3,add7b4024851243ce918d6b67fb9366d78bf1869d0c1a6ba53fc4da0bc23be4d,0.49040038699968136,
formal,sst2,albert-base-v2,64,64,3,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.58203125,0.57406975478534,44.58638572692871,26.078917273437696,38.34515020370633,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",e0a995c71794fa53f4a27a2c91490f2acfeffc5e6b739491b8bd6a75d6f6127e,0fee96d6c07cf098690caf7b8b6c54a9855d491e131555896781d5bdb104ccd8,7b592b501cde847e3846274980bc8e34fba92e13ad4466277fca69c6d0b43a71,0.509404053000253,
formal,sst2,albert-base-v2,64,64,3,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.515625,0.515625,22.370460510253906,16.706136876561573,59.858242955197085,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",e0a995c71794fa53f4a27a2c91490f2acfeffc5e6b739491b8bd6a75d6f6127e,0fee96d6c07cf098690caf7b8b6c54a9855d491e131555896781d5bdb104ccd8,7b592b501cde847e3846274980bc8e34fba92e13ad4466277fca69c6d0b43a71,0.509404053000253,
formal,sst2,albert-base-v2,64,64,3,fp32_gpu,PASS,fp32_gpu,cuda,fp32,none,8,8,8,1,5,3,0.58203125,0.57406975478534,44.58638572692871,0.7978857046879284,1253.312340507621,87.615234375,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",e0a995c71794fa53f4a27a2c91490f2acfeffc5e6b739491b8bd6a75d6f6127e,0fee96d6c07cf098690caf7b8b6c54a9855d491e131555896781d5bdb104ccd8,7b592b501cde847e3846274980bc8e34fba92e13ad4466277fca69c6d0b43a71,0.509404053000253,
formal,sst2,albert-base-v2,64,64,3,bf16_gpu,PASS,fp32_gpu,cuda,bf16,none,8,8,8,1,5,3,0.59375,0.5864554209381796,44.58638572692871,0.8854924406250575,1129.3151179180177,96.6376953125,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",e0a995c71794fa53f4a27a2c91490f2acfeffc5e6b739491b8bd6a75d6f6127e,0fee96d6c07cf098690caf7b8b6c54a9855d491e131555896781d5bdb104ccd8,7b592b501cde847e3846274980bc8e34fba92e13ad4466277fca69c6d0b43a71,0.509404053000253,
formal,sst2,albert-base-v2,64,64,4,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.65234375,0.6520836196497015,44.58638572692871,26.38000562421894,37.90749760424314,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",19222c61578480c032ef1ead448387aa4686585a6211c70d0e9cc2f0ca4bce49,9a8a6a48536503c447624b9da6be093779e580980cf813755671714528757287,b2174e606a9e62fb609e59a9dd1d2034c4222c4e0b3518a2c69fbc542a7c45b2,0.4296588140005042,
formal,sst2,albert-base-v2,64,64,4,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.4921875,0.396357832112022,22.370460510253906,17.256438828906084,57.949383990218784,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",19222c61578480c032ef1ead448387aa4686585a6211c70d0e9cc2f0ca4bce49,9a8a6a48536503c447624b9da6be093779e580980cf813755671714528757287,b2174e606a9e62fb609e59a9dd1d2034c4222c4e0b3518a2c69fbc542a7c45b2,0.4296588140005042,
