matrix,dataset,backbone,label_budget_per_class,validation_budget_per_class,seed,method,status,reference_method,device,inference_dtype,quantization,batch_size,requested_batch_size,max_inference_batch_size,warmup_repeats,timing_repeats,max_epochs,accuracy,macro_f1,model_size_mb,latency_ms_per_example,throughput_examples_per_second,peak_memory_mb,train_examples,validation_examples,test_examples,train_class_counts,validation_class_counts,test_class_counts,train_index_hash,validation_index_hash,test_index_hash,fine_tune_seconds,failure_reason
strengthened,sst2,albert-base-v2,64,64,6,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.5546875,0.4538513361778576,44.58638572692871,26.595665680468983,37.600111687911934,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",b9b8ee95f7ce41afcab2351900a9de15cd69e4f080cbbf49b4f1a9164f8eb810,3fe1ca6d9d4de24a08993f23dc82a3c0a95ec68689955242d693d63fa3fed1e1,051d35538d40d9eaeb2f24aee1e8b19dd8153f57d6187bea7834e36fcaa4c06b,1.0049638539931038,
strengthened,sst2,albert-base-v2,64,64,6,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.4609375,0.45238095238095244,22.370460510253906,15.569306292189822,64.22893745122346,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",b9b8ee95f7ce41afcab2351900a9de15cd69e4f080cbbf49b4f1a9164f8eb810,3fe1ca6d9d4de24a08993f23dc82a3c0a95ec68689955242d693d63fa3fed1e1,051d35538d40d9eaeb2f24aee1e8b19dd8153f57d6187bea7834e36fcaa4c06b,1.0049638539931038,
strengthened,sst2,albert-base-v2,64,64,6,fp32_gpu,PASS,fp32_gpu,cuda,fp32,none,8,8,8,1,5,3,0.5546875,0.4538513361778576,44.58638572692871,0.854401971093921,1170.4092848939297,87.5791015625,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",b9b8ee95f7ce41afcab2351900a9de15cd69e4f080cbbf49b4f1a9164f8eb810,3fe1ca6d9d4de24a08993f23dc82a3c0a95ec68689955242d693d63fa3fed1e1,051d35538d40d9eaeb2f24aee1e8b19dd8153f57d6187bea7834e36fcaa4c06b,1.0049638539931038,
strengthened,sst2,albert-base-v2,64,64,6,bf16_gpu,PASS,fp32_gpu,cuda,bf16,none,8,8,8,1,5,3,0.55859375,0.4608517379554562,44.58638572692871,0.948305721090037,1054.5122503853954,96.3046875,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",b9b8ee95f7ce41afcab2351900a9de15cd69e4f080cbbf49b4f1a9164f8eb810,3fe1ca6d9d4de24a08993f23dc82a3c0a95ec68689955242d693d63fa3fed1e1,051d35538d40d9eaeb2f24aee1e8b19dd8153f57d6187bea7834e36fcaa4c06b,1.0049638539931038,
strengthened,sst2,albert-base-v2,64,64,7,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.59765625,0.5234842324026385,44.58638572692871,24.485936474218306,40.839769434708714,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",1d5054eb18b5288d6094042e31f812365997095a88d5625614461dd5bedd5e6e,7e7a88b9fd85128a0c479668d85ebc1414dfe670d8bec9563640301d08d24fc6,86ff21db0062c5ce97222583d8b206e4716eab415bae36eba2edda1aae31aab8,0.45908255399990594,
strengthened,sst2,albert-base-v2,64,64,7,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.5,0.3591989987484355,22.370460510253906,16.545151310936035,60.44066815750538,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",1d5054eb18b5288d6094042e31f812365997095a88d5625614461dd5bedd5e6e,7e7a88b9fd85128a0c479668d85ebc1414dfe670d8bec9563640301d08d24fc6,86ff21db0062c5ce97222583d8b206e4716eab415bae36eba2edda1aae31aab8,0.45908255399990594,
strengthened,sst2,albert-base-v2,64,64,7,fp32_gpu,PASS,fp32_gpu,cuda,fp32,none,8,8,8,1,5,3,0.59765625,0.5234842324026385,44.58638572692871,0.8441961414064281,1184.5588376345847,88.3857421875,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",1d5054eb18b5288d6094042e31f812365997095a88d5625614461dd5bedd5e6e,7e7a88b9fd85128a0c479668d85ebc1414dfe670d8bec9563640301d08d24fc6,86ff21db0062c5ce97222583d8b206e4716eab415bae36eba2edda1aae31aab8,0.45908255399990594,
strengthened,sst2,albert-base-v2,64,64,7,bf16_gpu,PASS,fp32_gpu,cuda,bf16,none,8,8,8,1,5,3,0.60546875,0.5360904279178255,44.58638572692871,0.9383743875048367,1065.6727350146753,96.970703125,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",1d5054eb18b5288d6094042e31f812365997095a88d5625614461dd5bedd5e6e,7e7a88b9fd85128a0c479668d85ebc1414dfe670d8bec9563640301d08d24fc6,86ff21db0062c5ce97222583d8b206e4716eab415bae36eba2edda1aae31aab8,0.45908255399990594,
strengthened,sst2,albert-base-v2,64,64,8,fp32_cpu,PASS,fp32_cpu,cpu,fp32,none,8,8,8,1,5,3,0.7578125,0.7568627450980392,44.58638572692871,23.67018542187793,42.24723981569311,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",d82ab2ace3b40fb3fe408fc83a77fa98890ac78216b00901b97f6f8759d3b30b,34af2fc285cad4a3bfd6389fdbcd83869dc1cbfcd21cbe19c0d14190fe597bbc,5c5b00b985b2233459e47d9a4b0a5c8bf88628361f163097522bd283b41f3b17,0.4755046259961091,
strengthened,sst2,albert-base-v2,64,64,8,dynamic_int8_cpu,PASS,fp32_cpu,cpu,int8_dynamic,dynamic_int8_linear,8,8,8,1,5,3,0.50390625,0.3729241807626285,22.370460510253906,15.7001947078129,63.69347760396687,0.0,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",d82ab2ace3b40fb3fe408fc83a77fa98890ac78216b00901b97f6f8759d3b30b,34af2fc285cad4a3bfd6389fdbcd83869dc1cbfcd21cbe19c0d14190fe597bbc,5c5b00b985b2233459e47d9a4b0a5c8bf88628361f163097522bd283b41f3b17,0.4755046259961091,
strengthened,sst2,albert-base-v2,64,64,8,fp32_gpu,PASS,fp32_gpu,cuda,fp32,none,8,8,8,1,5,3,0.7578125,0.7568627450980392,44.58638572692871,0.8676742539080351,1152.5062493164517,87.17578125,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",d82ab2ace3b40fb3fe408fc83a77fa98890ac78216b00901b97f6f8759d3b30b,34af2fc285cad4a3bfd6389fdbcd83869dc1cbfcd21cbe19c0d14190fe597bbc,5c5b00b985b2233459e47d9a4b0a5c8bf88628361f163097522bd283b41f3b17,0.4755046259961091,
strengthened,sst2,albert-base-v2,64,64,8,bf16_gpu,PASS,fp32_gpu,cuda,bf16,none,8,8,8,1,5,3,0.7578125,0.7566092130282771,44.58638572692871,0.9568212453132219,1045.127295091199,96.8076171875,128,128,256,"{""0"":64,""1"":64}","{""0"":64,""1"":64}","{""0"":128,""1"":128}",d82ab2ace3b40fb3fe408fc83a77fa98890ac78216b00901b97f6f8759d3b30b,34af2fc285cad4a3bfd6389fdbcd83869dc1cbfcd21cbe19c0d14190fe597bbc,5c5b00b985b2233459e47d9a4b0a5c8bf88628361f163097522bd283b41f3b17,0.4755046259961091,
